intent	mode	earlier_hold	on_lapse	state	event	outcome
temporary	manual	no	revert	Unchecked	Check	-> Checked
temporary	manual	no	revert	Checked	Request	-> Pending
temporary	manual	no	revert	Pending	Approve	-> Applying
temporary	manual	no	revert	Pending	ApprovalWindowLapses	-> ApprovalExpired
temporary	manual	no	revert	Pending	Cancel	-> Closed
temporary	manual	no	revert	Pending	HostContractChanged	-> Closed
temporary	manual	no	revert	ApprovalExpired	Cancel	-> Closed
temporary	manual	no	revert	Applying	AllStepsDone	-> Applied
temporary	manual	no	revert	Applying	CommitItem	refuse R0102
temporary	manual	no	revert	Applying	Refuse	-> Reverting
temporary	manual	no	revert	Applying	WaitAtStep	-> Waiting
temporary	manual	no	revert	Applying	DeferAtStep	-> Deferred
temporary	manual	no	revert	Applying	Renew	stay
temporary	manual	no	revert	Applying	Confirm	refuse R0102
temporary	manual	no	revert	Applying	WaneElapses	-> Expired
temporary	manual	no	revert	Waiting	WaitSatisfied	-> Applying
temporary	manual	no	revert	Waiting	Recant	-> Reverting
temporary	manual	no	revert	Waiting	BoundLapses	-> Reverting
temporary	manual	no	revert	Waiting	WaneElapses	-> Expired
temporary	manual	no	revert	Deferred	HandoffDone	-> Applying
temporary	manual	no	revert	Deferred	Recant	-> Reverting
temporary	manual	no	revert	Deferred	CommitVerb	refuse R0102
temporary	manual	no	revert	Deferred	WaneElapses	-> Expired
temporary	manual	no	revert	Held	Recant	-> Reverting
temporary	manual	no	revert	Held	CommitVerb	refuse R0102
temporary	manual	no	revert	Held	Resume	-> Applying
temporary	manual	no	revert	Held	WaneElapses	-> Expired
temporary	manual	no	revert	Applied	Recant	-> Reverting
temporary	manual	no	revert	Applied	Suspend	-> Suspended
temporary	manual	no	revert	Applied	Renew	stay
temporary	manual	no	revert	Applied	Confirm	refuse R0102
temporary	manual	no	revert	Applied	WaneElapses	-> Expired
temporary	manual	no	revert	Suspended	Recant	-> Reverting
temporary	manual	no	revert	Suspended	Reestablish	-> Applied
temporary	manual	no	revert	Suspended	WaneElapses	-> Expired
temporary	manual	no	revert	Expired	WaneElapses	stay
temporary	manual	no	revert	Expired	UndoClean	-> Closed
temporary	manual	no	revert	Expired	UndoFailed	-> Stuck
temporary	manual	no	revert	Expired	DriftOnDefer	-> DriftHeld
temporary	manual	no	revert	Reverting	WaneElapses	-> Expired
temporary	manual	no	revert	Reverting	UndoClean	-> Closed
temporary	manual	no	revert	Reverting	UndoFailed	-> Stuck
